* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160224_CH_Mcap_6.eds
* Experiment Run End Time = 2016-02-24 12:43:42 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
E6	223-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.3467	27.4398	0.1316				false	0.01	true	3	24		N	N	N	N
E7	223-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.2415	28.2726	0.044				false	0.01	false	3	20		N	Y	N	N
E7	223-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.6065	32.005	0.8506				false	0.01	false	3	20		N	Y	N	N
E8	223-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.3038	28.2726	0.044				false	0.01	false	3	20		N	Y	N	N
E8	223-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	31.4035	32.005	0.8506				false	0.01	false	3	20		N	Y	N	N
E9	205-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	36.3889	35.6269	1.0777				false	0.01	true	3	32		N	Y	N	N
E10	205-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.8649	35.6269	1.0777				false	0.01	true	3	31		N	Y	N	N
E11	205-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	30.4597	30.4197	0.0565				false	0.01	false	3	20		N	N	N	N
E11	205-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
E12	205-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	30.3798	30.4197	0.0565				false	0.01	false	3	20		N	N	N	N
E12	205-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
F1	112-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.5853	28.5682	0.0243				false	0.01	true	3	24		N	N	N	N
F2	112-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.551	28.5682	0.0243				false	0.01	true	3	25		N	N	N	N
F3	112-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	38.1329	37.1898	1.3338				false	0.01	false	3	20		N	Y	N	N
F3	112-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	29.3366	29.3934	0.0804				false	0.01	false	3	20		N	Y	N	N
F4	112-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	36.2466	37.1898	1.3338				false	0.01	false	3	20		N	Y	N	N
F4	112-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	29.4503	29.3934	0.0804				false	0.01	false	3	20		N	Y	N	N
F5	223-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.475	26.3532	0.1722				false	0.01	true	3	20		N	N	N	N
F6	223-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.2314	26.3532	0.1722				false	0.01	true	3	22		N	N	N	N
F7	223-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	27.6715	27.6706	0.0013				false	0.01	false	3	20		N	N	N	N
F7	223-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	29.3443	29.3476	0.0046				false	0.01	false	3	20		N	N	N	N
F8	223-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	27.6697	27.6706	0.0013				false	0.01	false	3	20		N	N	N	N
F8	223-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	29.3509	29.3476	0.0046				false	0.01	false	3	20		N	N	N	N
F9	205-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.7515	27.652	0.1407				false	0.01	true	3	23		N	N	N	N
F10	205-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.5525	27.652	0.1407				false	0.01	true	3	23		N	N	N	N
F11	205-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	31.0962	31.0626	0.0476				false	0.01	false	3	20		N	N	N	N
F11	205-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
F12	205-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	31.0289	31.0626	0.0476				false	0.01	false	3	20		N	N	N	N
F12	205-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
G1	112-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.0334	28.9551	0.1108				false	0.01	true	3	25		N	N	N	N
G2	112-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.8767	28.9551	0.1108				false	0.01	true	3	24		N	N	N	N
G3	112-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	32.576	32.6889	0.1596				false	0.01	false	3	20		N	N	N	N
G3	112-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	30.0362	29.9574	0.1115				false	0.01	false	3	20		N	N	N	N
G4	112-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	32.8017	32.6889	0.1596				false	0.01	false	3	20		N	N	N	N
G4	112-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	29.8786	29.9574	0.1115				false	0.01	false	3	20		N	N	N	N
G5	215-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.3166	30.057	0.3671				false	0.01	true	3	25		N	N	N	N
G6	215-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.7974	30.057	0.3671				false	0.01	true	3	26		N	N	N	N
G7	215-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N
G7	215-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N
G8	215-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
G8	215-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
G9	205-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.9923	30.0479	0.0786				false	0.01	true	3	25		N	N	N	N
G10	205-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.1035	30.0479	0.0786				false	0.01	true	3	25		N	N	N	N
G11	205-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.4412	28.5042	0.0891				false	0.01	false	3	20		N	N	N	N
G11	205-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
G12	205-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.5673	28.5042	0.0891				false	0.01	false	3	20		N	N	N	N
G12	205-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
H1																		N	N	N	N
H2	131-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	26.2993	26.497	0.2796				false	0.01	false	3	20		N	N	N	N
H2	131-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
H3	131-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	26.6947	26.497	0.2796				false	0.01	false	3	20		N	N	N	N
H3	131-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
H4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	29.2027	29.0642	0.196				false	0.01	true	3	25		N	N	N	N
H5	215-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	10.244	10.2398	0.0059				false	0.01	true	3	35		N	N	N	N
H6	215-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	10.2356	10.2398	0.0059				false	0.01	true	3	39		N	N	N	Y
H7	215-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N
H7	215-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N
H8	215-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N
H8	215-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y	N
H9	NTC	Mc	NTC	FAM	NFQ-MGB	10.6578						false	0.01	true	3	39		Y	N	N	N
H10	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	1	2		N	N	N	N
H11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
H11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
H12	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
H12	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
