* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160224_CH_Mcap_7.eds
* Experiment Run End Time = 2016-02-24 14:20:21 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP
E12	206-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	32.4957	32.5274	0.0447				false	0.01	false	3	20		N	N	N
E12	206-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	26.4601	26.5056	0.0643				false	0.01	false	3	20		N	N	N
F1	43-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.8097	28.5314	0.3936				false	0.01	true	3	25		N	N	N
F2	43-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.2531	28.5314	0.3936				false	0.01	true	3	24		N	N	N
F3	43-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
F3	43-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
F4	43-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y
F4	43-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	Y
F5	44-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.3469	24.9949	0.4978				false	0.01	true	3	20		N	N	N
F6	44-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.6429	24.9949	0.4978				false	0.01	true	3	20		N	N	N
F7	44-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	26.2332	25.6154	0.8737				false	0.01	false	3	20		N	Y	N
F7	44-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
F8	44-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	24.9977	25.6154	0.8737				false	0.01	false	3	20		N	Y	N
F8	44-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
F9	206-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.7049	27.6598	0.0638				false	0.01	true	3	23		N	N	N
F10	206-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.6147	27.6598	0.0638				false	0.01	true	3	23		N	N	N
F11	206-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	26.8567	27.1513	0.4165				false	0.01	false	3	20		N	N	N
F11	206-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	28.5916	28.4853	0.1504				false	0.01	false	3	20		N	N	N
F12	206-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	27.4458	27.1513	0.4165				false	0.01	false	3	20		N	N	N
F12	206-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	28.3789	28.4853	0.1504				false	0.01	false	3	20		N	N	N
G1	43-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.1201	28.9173	0.2869				false	0.01	true	3	24		N	N	N
G2	43-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.7144	28.9173	0.2869				false	0.01	true	3	24		N	N	N
G3	43-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	36.278	35.3931	1.2514				false	0.01	false	3	20		N	Y	N
G3	43-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
G4	43-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	34.5083	35.3931	1.2514				false	0.01	false	3	20		N	Y	N
G4	43-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
G5	44-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.3311	27.3716	0.0572				false	0.01	true	3	23		N	N	N
G6	44-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.412	27.3716	0.0572				false	0.01	true	3	23		N	N	N
G7	44-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	25.4351	25.4464	0.0159				false	0.01	false	3	20		N	N	N
G7	44-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
G8	44-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	25.4576	25.4464	0.0159				false	0.01	false	3	20		N	N	N
G8	44-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
G9	206-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	35.5907	34.8073	1.1078				false	0.01	true	3	31		N	Y	N
G10	206-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.0239	34.8073	1.1078				false	0.01	true	3	29		N	Y	N
G11	206-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.8472	29.0607	0.3019				false	0.01	false	3	20		N	Y	N
G11	206-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	34.8934	34.3266	0.8016				false	0.01	false	3	20		N	Y	N
G12	206-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	29.2742	29.0607	0.3019				false	0.01	false	3	20		N	Y	N
G12	206-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	33.7598	34.3266	0.8016				false	0.01	false	3	20		N	Y	N
H1																		N	N	N
H2	205-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	27.1459	27.0819	0.0905				false	0.01	false	3	20		N	N	N
H2	205-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H3	205-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	27.0179	27.0819	0.0905				false	0.01	false	3	20		N	N	N
H3	205-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	28.7412	28.6539	0.1235				false	0.01	true	3	24		N	N	N
H5	44-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.1709	26.0124	0.2242				false	0.01	true	3	21		N	N	N
H6	44-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.8538	26.0124	0.2242				false	0.01	true	3	21		N	N	N
H7	44-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	27.4759	27.5594	0.1181				false	0.01	false	3	20		N	N	N
H7	44-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H8	44-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	27.6429	27.5594	0.1181				false	0.01	false	3	20		N	N	N
H8	44-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H9	NTC	Mc	NTC	FAM	NFQ-MGB	12.1123						false	0.01	true	3	39		Y	N	N
H10	NTC	Mc	NTC	FAM	NFQ-MGB	11.912						false	0.01	true	3	39		Y	N	N
H11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H12	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
H12	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
