* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160229_CH_Mcap_12.eds
* Experiment Run End Time = 2016-02-29 14:16:37 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments
E11	25-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	31.5501	31.7664	0.3058				false	0.05	false	16	22	
E11	25-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
E12	25-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	31.9826	31.7664	0.3058				false	0.05	false	16	22	
E12	25-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
F1	237-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.2109	28.9666	0.3455				false	0.05	true	16	22	
F2	237-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.7223	28.9666	0.3455				false	0.05	true	16	22	
F3	237-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	28.3478	28.2461	0.1439				false	0.05	false	16	22	
F3	237-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
F4	237-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	28.1443	28.2461	0.1439				false	0.05	false	16	22	
F4	237-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
F5	121-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.9424	29.8551	0.1234				false	0.05	true	16	22	
F6	121-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.7679	29.8551	0.1234				false	0.05	true	16	22	
F7	121-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.3462	29.341	0.0073				false	0.05	false	16	22	
F7	121-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
F8	121-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.3358	29.341	0.0073				false	0.05	false	16	22	
F8	121-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
F9	25-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.871	28.9396	0.097				false	0.05	true	16	22	
F10	25-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.0082	28.9396	0.097				false	0.05	true	16	22	
F11	25-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	31.6978	31.9052	0.2933				false	0.05	false	16	22	
F11	25-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
F12	25-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	32.1125	31.9052	0.2933				false	0.05	false	16	22	
F12	25-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
G1	58-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.548	29.7444	0.2777				false	0.05	true	16	22	
G2	58-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.9407	29.7444	0.2777				false	0.05	true	16	22	
G3	58-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	34.9699	35.0522	0.1164				false	0.05	false	16	22	
G3	58-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	30.9813	31.1259	0.2045				false	0.05	false	16	22	
G4	58-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	35.1345	35.0522	0.1164				false	0.05	false	16	22	
G4	58-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	31.2705	31.1259	0.2045				false	0.05	false	16	22	
G5	234-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	31.7497	31.6346	0.1628				false	0.05	true	16	22	
G6	234-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	31.5195	31.6346	0.1628				false	0.05	true	16	22	
G7	234-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.5913	29.5346	0.0802				false	0.05	false	16	22	
G7	234-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	29.1167	29.2372	0.1704				false	0.05	false	16	22	
G8	234-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.4779	29.5346	0.0802				false	0.05	false	16	22	
G8	234-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	29.3577	29.2372	0.1704				false	0.05	false	16	22	
G9	25-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	36.6034	36.6454	0.0594				false	0.05	true	16	22	
G10	25-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	36.6874	36.6454	0.0594				false	0.05	true	16	22	
G11	25-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	30.9422	31.1766	0.3315				false	0.05	false	16	22	
G11	25-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
G12	25-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	31.411	31.1766	0.3315				false	0.05	false	16	22	
G12	25-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
H1																	
H2	202-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.4626	29.5509	0.1248				false	0.05	false	16	22	
H2	202-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
H3	202-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.6391	29.5509	0.1248				false	0.05	false	16	22	
H3	202-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
H4	(+)-208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.7489	25.6564	0.1308				false	0.05	true	16	22	
H5	234-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.7305	28.827	0.1364				false	0.05	true	16	22	
H6	234-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.9234	28.827	0.1364				false	0.05	true	16	22	
H7	234-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
H7	234-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.9038	28.8012	0.1451				false	0.05	false	16	22	
H8	234-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
H8	234-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.6986	28.8012	0.1451				false	0.05	false	16	22	
H9	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	true	16	22	
H10	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	true	16	22	
H11	(+)-208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	30.6852	30.6327	0.0742				false	0.05	false	16	22	
H11	(+)-208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	28.2068	28.0087	0.2802				false	0.05	false	16	22	
H12																	
